,GOOGL,DIS,MCD,TSLA,KO,WMT,XOM,JPM,JNJ,PFE,BA,AAPL,NVDA,DD,AMT,DUK,EQIX,LULU
GOOGL,1.0,0.36710679079383485,0.2290502453444536,0.3828652962000092,0.23226830218291047,0.1651893675782388,0.17185888757459183,0.3675370226954906,0.13001685132975452,0.19633413498467941,0.33428579494270827,0.47860476513984584,0.49889053227847496,0.36634215775411944,0.21994035551113922,0.10958654929763981,0.29058388212680925,0.2928906592673536
DIS,0.36710679079383485,1.0,0.3135341406810696,0.30876198077056205,0.33652557882294837,0.2236893283127932,0.3924343877692577,0.6289689160582278,0.21676737580928213,0.05529356582871026,0.41483522445209847,0.3379041608150687,0.2736666984833086,0.41474096671902216,0.16805024884555134,0.03697376074766375,0.21274173108261515,0.28503243662797373
MCD,0.2290502453444536,0.3135341406810696,1.0,0.21647259567297417,0.6381061965359557,0.2984783367913035,0.34280485338696565,0.2926859772109509,0.5221540751686827,0.25719385626815017,0.3220559854729347,0.35378826811125524,0.07195597569687223,0.34859468491678874,0.41713503017840753,0.4690623875479872,0.33059119170329193,0.23587612470865071
TSLA,0.3828652962000092,0.30876198077056205,0.21647259567297417,1.0,0.08293587363365429,0.2223395988730597,0.035742138569148124,0.18974543882410266,0.12008143270038472,0.0872236331815895,0.21025044375170893,0.5122116507105172,0.3138214050118364,0.21750450230618684,0.08560564546743765,0.023186512643147722,0.19499302239115837,0.31744723549458026
KO,0.23226830218291047,0.33652557882294837,0.6381061965359557,0.08293587363365429,1.0,0.2992963022559085,0.33083826310149533,0.3070900307341482,0.5227321969653317,0.23834970123654595,0.322544094917024,0.26206410076670017,0.002110126310668875,0.31991405913877163,0.47436152690265976,0.5397948823201757,0.25983378773560417,0.11424148880728492
WMT,0.1651893675782388,0.2236893283127932,0.2984783367913035,0.2223395988730597,0.2992963022559085,1.0,0.06856551904767454,0.20099670306159814,0.30762292979483846,0.14380553182379577,0.09112110636020124,0.2581979265924065,0.2128148707841811,0.1810021760161724,0.17847597448521857,0.29087414504169173,0.4216378196174897,0.3116610802056951
XOM,0.17185888757459183,0.3924343877692577,0.34280485338696565,0.035742138569148124,0.33083826310149533,0.06856551904767454,1.0,0.47150093835223217,0.39746964578446314,0.16774569421295757,0.312759511273425,0.17619452789596302,0.10488626206032517,0.4617550225466768,0.07718968506112224,0.1850953269554274,-0.030514242427546565,0.12220271149832657
JPM,0.3675370226954906,0.6289689160582278,0.2926859772109509,0.18974543882410266,0.3070900307341482,0.20099670306159814,0.47150093835223217,1.0,0.3158003774734878,0.2532398676742622,0.5243182633897544,0.26951795820270297,0.34739096358887794,0.5277475257025506,0.13546196637303812,0.09337182498596426,0.0749049867961509,0.23386570623923336
JNJ,0.13001685132975452,0.21676737580928213,0.5221540751686827,0.12008143270038472,0.5227321969653317,0.30762292979483846,0.39746964578446314,0.3158003774734878,1.0,0.5049638552435933,0.1623867864809105,0.3195999802610789,0.05034786296434253,0.44287767483799595,0.4372119472012184,0.492979886021043,0.3111448003011564,0.15019390576957894
PFE,0.19633413498467941,0.05529356582871026,0.25719385626815017,0.0872236331815895,0.23834970123654595,0.14380553182379577,0.16774569421295757,0.2532398676742622,0.5049638552435933,1.0,0.12476548759381137,0.25079905846308653,0.15333684440031775,0.399980111251485,0.3210055847422617,0.2843235424128196,0.19943827729175884,0.11975735710686268
BA,0.33428579494270827,0.41483522445209847,0.3220559854729347,0.21025044375170893,0.322544094917024,0.09112110636020124,0.312759511273425,0.5243182633897544,0.1623867864809105,0.12476548759381137,1.0,0.2923819499194348,0.24535999054375546,0.42399400688029765,0.22414488067463928,0.12050275050887406,0.14236805329535798,0.25880818515998805
