,GOOGL,DIS,MCD,TSLA,KO,WMT,XOM,JPM,JNJ,PFE,BA,AAPL,NVDA,DD,AMT,DUK,EQIX,LULU
GOOGL,0.05922554368506271,0.026856921753889422,0.009587646853939608,0.058927328680535594,0.009187402879534203,0.007550493113100122,0.011470614272122107,0.021870622242046337,0.005176960942550478,0.010571951481692675,0.03174156097771385,0.032301298775635284,0.05736421734412373,0.027828521402421934,0.012382717458588273,0.004569397444095362,0.01527301915460421,0.028072605572628247
DIS,0.026856921753889422,0.09036881243460768,0.016211412824132864,0.058701517589850045,0.016442795488117452,0.012629706267496717,0.03235463427861214,0.04623213917267452,0.010661637779687426,0.003677805056257006,0.04865648635485181,0.028170286608650685,0.03886981940063175,0.038916603340890234,0.011687051564985973,0.0019043644630797915,0.013812135274616815,0.033746306531580145
MCD,0.009587646853939608,0.016211412824132864,0.02958376741129186,0.02354755866469311,0.017838896649218318,0.009642247011782137,0.01617088739843112,0.012309323163158397,0.014694206120316142,0.009787959185667095,0.021612944835740285,0.016875576011440616,0.005847562717232458,0.018715274673568205,0.01659815878912109,0.013823069892561799,0.01228052304735481,0.01597840400152376
TSLA,0.058927328680535594,0.058701517589850045,0.02354755866469311,0.3999746308863774,0.00852524629511407,0.02641020292335722,0.006199503488409742,0.029342227933677884,0.01242546928186672,0.012205489900887021,0.05188107598187332,0.08983676698583563,0.09377348748363085,0.0429371465098984,0.012524925234675261,0.002512458004206416,0.02663386173394696,0.07906976473094521
KO,0.009187402879534203,0.016442795488117452,0.017838896649218318,0.00852524629511407,0.026417795585757922,0.009136678349284427,0.014747695810790214,0.012204486853334761,0.0139010707727397,0.008571714934639188,0.020454704663232823,0.011812566291101601,0.0001620458908427002,0.01623044093777897,0.017836689769822237,0.01503225744302433,0.009121006365126874,0.007312987246152928
WMT,0.007550493113100122,0.012629706267496717,0.009642247011782137,0.02641020292335722,0.009136678349284427,0.035275842456603465,0.003531869241465204,0.009230668389368781,0.00945318413121317,0.005976117249725214,0.006677494079122827,0.013448687000396774,0.0188852157735065,0.010611363645638739,0.007754878035140482,0.009360325931862853,0.01710318930933232,0.02305387546655116
XOM,0.011470614272122107,0.03235463427861214,0.01617088739843112,0.006199503488409742,0.014747695810790214,0.003531869241465204,0.07521774386104088,0.03161900731600757,0.017835481368328264,0.010179263403917935,0.033467749326057186,0.013401117225613962,0.013591270058492848,0.03952942380799802,0.0048975167849565245,0.00869766667905862,-0.0018074304325192518,0.013199688056617254
JPM,0.021870622242046337,0.04623213917267452,0.012309323163158397,0.029342227933677884,0.012204486853334761,0.009230668389368781,0.03161900731600757,0.059787588486984344,0.012633942009567373,0.013700689252681485,0.050021456620970225,0.018276021685568435,0.04013334125799777,0.040279162206717276,0.0076626573664668905,0.003911726841234328,0.003955624853333624,0.02252136631318344
JNJ,0.005176960942550478,0.010661637779687426,0.014694206120316142,0.01242546928186672,0.0139010707727397,0.00945318413121317,0.017835481368328264,0.012633942009567373,0.026769572273626974,0.018280405656455587,0.0103663826043177,0.014501599218504165,0.0038920914838949192,0.022617948403306536,0.016548904498029426,0.01381965083971694,0.010994667765691938,0.009678224708226685
PFE,0.010571951481692675,0.003677805056257006,0.009787959185667095,0.012205489900887021,0.008571714934639188,0.005976117249725214,0.010179263403917935,0.013700689252681485,0.018280405656455587,0.04895641862899479,0.01077097749258334,0.015389310426910052,0.016029966829591177,0.027624340682587428,0.016431375511454915,0.010778660568088825,0.009530423087549002,0.010435894910204621
