,GOOGL,DIS,MCD,TSLA,KO,WMT,XOM,JPM,JNJ,PFE,BA,AAPL,NVDA,DD,AMT,DUK,EQIX,LULU
GOOGL,0.05922553814883162,0.026856946538234366,0.009587647054815341,0.05892734228258868,0.009187388957106026,0.007550519690087265,0.01147060082660395,0.02187059230624474,0.005176974377788341,0.010571988445544089,0.03174155068137072,0.03230128806120289,0.05736416284797721,0.027828478516758792,0.01238272697735607,0.004569416469624403,0.015273018344493003,0.028072607197075702
DIS,0.026856946538234366,0.09036886392564773,0.0162114138438699,0.058701520812459634,0.016442760284187223,0.01262972601603586,0.03235466528120198,0.04623215905797108,0.010661670850885607,0.0036778403217652992,0.048656503058654973,0.028170309072659817,0.03886983546788069,0.038916615807933944,0.011687048761901787,0.001904340092082105,0.013812144003276947,0.03374632772849742
MCD,0.009587647054815341,0.0162114138438699,0.029583735270157487,0.02354754181814097,0.017838867802853833,0.009642228323030433,0.016170872386647085,0.012309274062594425,0.014694206024494052,0.009787930975623586,0.021612944774325106,0.01687558725555161,0.005847545442999544,0.018715291556290908,0.016598165304703642,0.013823048111729557,0.012280539089678612,0.015978366969843123
TSLA,0.05892734228258868,0.058701520812459634,0.02354754181814097,0.3999746308863774,0.00852528176330648,0.02641022229417684,0.006199516430456447,0.029342185903969947,0.01242543007607446,0.012205535876340955,0.051881080228315724,0.08983675876375075,0.09377341528386043,0.04293711519623207,0.012524887025735433,0.002512389388282974,0.026633798637688944,0.07906976473094521
KO,0.009187388957106026,0.016442760284187223,0.017838867802853833,0.00852528176330648,0.026417778476800026,0.009136671240407786,0.01474763681457195,0.012204419770930735,0.013901081721675822,0.008571700394466716,0.02045465052443877,0.011812573943900492,0.0001620226781202017,0.016230365283054875,0.01783667752345166,0.015032254187634184,0.009121026532251535,0.007312972432813477
WMT,0.007550519690087265,0.01262972601603586,0.009642228323030433,0.02641022229417684,0.009136671240407786,0.03527581243486006,0.0035318527095735226,0.009230657258027014,0.009453153941780205,0.005976091009916863,0.006677494115915058,0.01344869207264659,0.01888524408624402,0.010611392222876158,0.007754885961861236,0.009360322987730206,0.017103198778852573,0.02305388537709856
XOM,0.01147060082660395,0.03235466528120198,0.016170872386647085,0.006199516430456447,0.01474763681457195,0.0035318527095735226,0.07521770748479852,0.031619003152503836,0.01783545890845308,0.010179242735423078,0.03346779059955278,0.013401116225237363,0.013591225721335901,0.03952939003211154,0.004897500708366605,0.008697609139761777,-0.0018074311937219477,0.013199665349885151
JPM,0.02187059230624474,0.04623215905797108,0.012309274062594425,0.029342185903969947,0.012204419770930735,0.009230657258027014,0.031619003152503836,0.05978757145909865,0.012633943099402186,0.013700674822078499,0.05002140762743451,0.018275983123921282,0.040133310540228784,0.04027913906336661,0.007662621409770448,0.003911683928840464,0.00395561130447244,0.022521353599871875
JNJ,0.005176974377788341,0.010661670850885607,0.014694206024494052,0.01242543007607446,0.013901081721675822,0.009453153941780205,0.01783545890845308,0.012633943099402186,0.02676957301644897,0.01828038855858808,0.010366422046698756,0.014501598626474224,0.0038920779181055845,0.022617953674411745,0.016548907841238567,0.01381964087423894,0.01099468403717158,0.00967824484173313
PFE,0.010571988445544089,0.0036778403217652992,0.009787930975623586,0.012205535876340955,0.008571700394466716,0.005976091009916863,0.010179242735423078,0.013700674822078499,0.01828038855858808,0.048956402377797886,0.010771032754298368,0.015389312198694478,0.016029994207714296,0.027624334786139095,0.01643135699066949,0.010778619717178205,0.009530409089301462,0.01043591626159817
BA,0.03174155068137072,0.048656503058654973,0.021612944774325106,0.051881080228315724,0.02045465052443877,0.006677494115915058,0.03346779059955278,0.05002140762743451,0.010366422046698756,0.010771032754298368,0.15223400801280185,0.031636929946047346,0.04523147289210537,0.051637393878804,0.020232100841478046,0.008055636959160473,0.011996852272060193,0.039770070983364346
AAPL,0.03230128806120289,0.028170309072659817,0.01687558725555161,0.08983675876375075,0.011812573943900492,0.01344869207264659,0.013401116225237363,0.018275983123921282,0.014501598626474224,0.015389312198694478,0.031636929946047346,0.07690890228945169,0.06818705301276097,0.035045155134203435,0.021135285216412208,0.006151783037411757,0.019315372027340807,0.03633427309799395
NVDA,0.05736416284797721,0.03886983546788069,0.005847545442999544,0.09377341528386043,0.0001620226781202017,0.01888524408624402,0.013591225721335901,0.040133310540228784,0.0038920779181055845,0.016029994207714296,0.04523147289210537,0.06818705301276097,0.22323513471444764,0.0541967193207958,0.012737046668118028,-0.006949436131736926,0.039570613734387514,0.035520771345775276
DD,0.027828478516758792,0.038916615807933944,0.018715291556290908,0.04293711519623207,0.016230365283054875,0.010611392222876158,0.03952939003211154,0.04027913906336661,0.022617953674411745,0.027624334786139095,0.051637393878804,0.035045155134203435,0.0541967193207958,0.09743103484752844,0.022085648765311848,0.014151977358501624,0.019243851397688333,0.02181079390689462
